hidden_layer_sizes,activation,optimizer,mse
"(64, 32, 16)",tanh,sgd,0.0047054323358309185
"(32, 16, 8)",tanh,sgd,0.004782482375850771
"(32, 32)",tanh,sgd,0.005087934276281435
"(16, 8)",tanh,sgd,0.005473349705157783
"(16, 16, 8)",tanh,sgd,0.005824332376688974
"(16, 16)",relu,sgd,0.0065304519057664085
"(64, 32, 16)",tanh,adam,0.006593216217268916
"(32, 32, 16)",tanh,sgd,0.006746135812873269
"(32, 16, 8)",relu,sgd,0.006747868748394031
"(32, 32, 16)",tanh,adam,0.0072392583221790605
"(16, 16)",tanh,sgd,0.007389839293267235
"(64, 32, 16)",relu,sgd,0.007441741284108928
"(64, 32)",tanh,sgd,0.007973262929669272
"(64, 32)",tanh,adam,0.008625773356804953
"(32, 16)",tanh,sgd,0.008751738678300156
"(32, 16)",relu,sgd,0.010348854808018481
"(32, 16)",tanh,adam,0.010428548953858238
"(16, 16, 8)",relu,sgd,0.011994188612002452
"(64, 32)",relu,sgd,0.012093431509630508
"(16, 8)",relu,sgd,0.016043787067967403
"(32, 32)",tanh,adam,0.016213354399305917
"(32, 32, 16)",relu,sgd,0.01661465436298001
"(32, 32)",relu,sgd,0.018084063164679857
"(16, 16)",tanh,adam,0.029719074100828538
"(64, 32, 16)",relu,adam,0.058540509903228066
"(32, 32, 16)",relu,adam,0.0616860901857418
"(64, 32)",relu,adam,0.08753761215837864
"(16, 16, 8)",tanh,adam,0.10641165081481875
"(32, 32)",relu,adam,0.12674649679561187
"(32, 16)",relu,adam,0.15818323035065224
"(32, 16, 8)",tanh,adam,0.3939455134560174
"(32, 16, 8)",relu,adam,0.39747954283841774
"(16, 16)",relu,adam,0.6943351083972439
"(16, 16, 8)",relu,adam,0.8566537104038897
"(16, 8)",relu,adam,1.091467380565534
"(16, 8)",tanh,adam,1.5956399671252492
