id,Year,Charges_Filed,MTR_Other,Further_Inv,Discharged,Other_Action,Total,Action_Taken_Rate
0,2015,5790,1488,996,3817,14,12105,0.6846757538
1,2016,5957,1550,686,3956,12,12161,0.6746978045
2,2017,5707,1438,287,3933,21,11386,0.6545757948
3,2018,6822,1606,236,3608,9,12281,0.7062128491
4,2019,6470,1594,390,3543,15,12012,0.705044955
5,2020,4325,1231,652,2796,11,9015,0.6898502496
6,2021,4701,748,304,2383,42,8178,0.7086084617
7,2022,4929,632,231,2318,28,8138,0.7151634308
8,2023,3412,621,228,2257,3,6521,0.6538874406
9,2023*,4903,892,328,3243,4,9371,0.6538874406
