id,Crime,N,Pct,FY_Year
0,Grand Total,"64,157",100.00%,2022
1,Administration of Justice,653,1.00%,2022
2,Antitrust,8,0.00%,2022
3,Arson,106,0.20%,2022
4,Assault,855,1.30%,2022
5,Bribery/Corruption,361,0.60%,2022
6,Burglary/Trespass,112,0.20%,2022
7,Child Pornography,"1,436",2.20%,2022
8,Commercialized Vice,73,0.10%,2022
9,Drug Possession,296,0.50%,2022
10,Drug Trafficking,"19,941",31.10%,2022
11,Environmental,154,0.20%,2022
12,Extortion/Racketeering,121,0.20%,2022
13,Firearms,"9,318",14.50%,2022
14,Food and Drug,40,0.10%,2022
15,Forgery/Counter/Copyright,111,0.20%,2022
16,Fraud/Theft/Embezzlement,"5,522",8.60%,2022
17,Immigration,"17,657",27.50%,2022
18,Individual Rights,92,0.10%,2022
19,Kidnapping,128,0.20%,2022
20,Manslaughter,80,0.10%,2022
21,Money Laundering,"1,192",1.90%,2022
22,Murder,410,0.60%,2022
23,National Defense,181,0.30%,2022
24,Obscenity/Other Sex Offenses,344,0.50%,2022
25,Prison Offenses,499,0.80%,2022
26,Robbery,"1,445",2.30%,2022
27,Sexual Abuse,"1,499",2.30%,2022
28,Stalking/Harassing,267,0.40%,2022
29,Tax,496,0.80%,2022
30,Other,760,1.20%,2022
31,Grand Total,"57,304",100.00%,2021
32,Administration of Justice,512,0.90%,2021
33,Antitrust,6,0.00%,2021
34,Arson,79,0.10%,2021
35,Assault,669,1.20%,2021
36,Bribery/Corruption,248,0.40%,2021
37,Burglary/Trespass,64,0.10%,2021
38,Child Pornography,"1,217",2.10%,2021
39,Commercialized Vice,114,0.20%,2021
40,Drug Possession,309,0.50%,2021
41,Drug Trafficking,"17,611",30.70%,2021
42,Environmental,173,0.30%,2021
43,Extortion/Racketeering,117,0.20%,2021
44,Firearms,"8,154",14.20%,2021
45,Food and Drug,47,0.10%,2021
46,Forgery/Counter/Copyright,137,0.20%,2021
47,Fraud/Theft/Embezzlement,"4,573",8.00%,2021
48,Immigration,"16,939",29.60%,2021
49,Individual Rights,70,0.10%,2021
50,Kidnapping,92,0.20%,2021
51,Manslaughter,56,0.10%,2021
52,Money Laundering,"1,028",1.80%,2021
53,Murder,259,0.50%,2021
54,National Defense,217,0.40%,2021
55,Obscenity/Other Sex Offenses,299,0.50%,2021
56,Prison Offenses,531,0.90%,2021
57,Robbery,"1,301",2.30%,2021
58,Sexual Abuse,"1,061",1.90%,2021
59,Stalking/Harassing,219,0.40%,2021
60,Tax,422,0.70%,2021
61,Other,780,1.40%,2021
62,Grand Total,"57,304",100.00%,2020
63,Administration of Justice,512,0.90%,2020
64,Antitrust,6,0.00%,2020
65,Arson,79,0.10%,2020
66,Assault,669,1.20%,2020
67,Bribery/Corruption,248,0.40%,2020
68,Burglary/Trespass,64,0.10%,2020
69,Child Pornography,"1,217",2.10%,2020
70,Commercialized Vice,114,0.20%,2020
71,Drug Possession,309,0.50%,2020
72,Drug Trafficking,"17,611",30.70%,2020
73,Environmental,173,0.30%,2020
74,Extortion/Racketeering,117,0.20%,2020
75,Firearms,"8,154",14.20%,2020
76,Food and Drug,47,0.10%,2020
77,Forgery/Counter/Copyright,137,0.20%,2020
