id,Circuit,District,N,Pct,Fiscal_Year
0,Grand Total,Total,"4,417",100.00%,2022
1,DC Circuit,District of Columbia,40,0.90%,2022
2,1st Circuit,Maine,7,0.20%,2022
3,1st Circuit,Massachusetts,41,0.90%,2022
4,1st Circuit,New Hampshire,8,0.20%,2022
5,1st Circuit,Puerto Rico,90,2.00%,2022
6,1st Circuit,Rhode Island,4,0.10%,2022
7,2nd Circuit,Connecticut,31,0.70%,2022
8,2nd Circuit,"New York, Eastern",97,2.20%,2022
9,2nd Circuit,"New York, Northern",28,0.60%,2022
10,2nd Circuit,"New York, Southern",215,4.90%,2022
11,2nd Circuit,"New York, Western",33,0.70%,2022
12,2nd Circuit,Vermont,11,0.20%,2022
13,3rd Circuit,Delaware,10,0.20%,2022
14,3rd Circuit,New Jersey,23,0.50%,2022
15,3rd Circuit,"Pennsylvania, Eastern",58,1.30%,2022
16,3rd Circuit,"Pennsylvania, Middle",33,0.70%,2022
17,3rd Circuit,"Pennsylvania, Western",35,0.80%,2022
18,3rd Circuit,Virgin Islands,2,0.00%,2022
19,4th Circuit,Maryland,89,2.00%,2022
20,4th Circuit,"North Carolina, Eastern",54,1.20%,2022
21,4th Circuit,"North Carolina, Middle",41,0.90%,2022
22,4th Circuit,"North Carolina, Western",61,1.40%,2022
23,4th Circuit,South Carolina,39,0.90%,2022
24,4th Circuit,"Virginia, Eastern",54,1.20%,2022
25,4th Circuit,"Virginia, Western",22,0.50%,2022
26,4th Circuit,"West Virginia, Northern",17,0.40%,2022
27,4th Circuit,"West Virginia, Southern",23,0.50%,2022
28,5th Circuit,"Louisiana, Eastern",20,0.50%,2022
29,5th Circuit,"Louisiana, Middle",5,0.10%,2022
30,5th Circuit,"Louisiana, Western",25,0.60%,2022
31,5th Circuit,"Mississippi, Northern",8,0.20%,2022
32,5th Circuit,"Mississippi, Southern",24,0.50%,2022
33,5th Circuit,"Texas, Eastern",30,0.70%,2022
34,5th Circuit,"Texas, Northern",129,2.90%,2022
35,5th Circuit,"Texas, Southern",113,2.60%,2022
36,5th Circuit,"Texas, Western",83,1.90%,2022
37,6th Circuit,"Kentucky, Eastern",59,1.30%,2022
38,6th Circuit,"Kentucky, Western",20,0.50%,2022
39,6th Circuit,"Michigan, Eastern",88,2.00%,2022
40,6th Circuit,"Michigan, Western",25,0.60%,2022
41,6th Circuit,"Ohio, Northern",51,1.20%,2022
42,6th Circuit,"Ohio, Southern",66,1.50%,2022
43,6th Circuit,"Tennessee, Eastern",39,0.90%,2022
44,6th Circuit,"Tennessee, Middle",44,1.00%,2022
45,6th Circuit,"Tennessee, Western",65,1.50%,2022
46,7th Circuit,"Illinois, Central",46,1.00%,2022
47,7th Circuit,"Illinois, Northern",76,1.70%,2022
48,7th Circuit,"Illinois, Southern",41,0.90%,2022
49,7th Circuit,"Indiana, Northern",38,0.90%,2022
50,7th Circuit,"Indiana, Southern",56,1.30%,2022
