incident_year,incident_month,incident_category,count
2018,1,Arson,26
2018,1,Assault,715
2018,1,Homicide,1
2018,1,"Human Trafficking (A), Commercial Sex Acts",1
2018,1,Offences Against The Family And Children,142
2018,1,Rape,2
2018,1,Robbery,277
2018,1,Sex Offense,17
2018,1,Weapons Carrying Etc,119
2018,1,Weapons Offense,69
2018,2,Arson,25
2018,2,Assault,683
2018,2,Offences Against The Family And Children,149
2018,2,Rape,3
2018,2,Robbery,314
2018,2,Sex Offense,15
2018,2,Weapons Carrying Etc,72
2018,2,Weapons Offense,63
2018,3,Arson,30
2018,3,Assault,754
2018,3,Homicide,1
2018,3,"Human Trafficking (A), Commercial Sex Acts",4
2018,3,Offences Against The Family And Children,164
2018,3,Rape,2
2018,3,Robbery,291
2018,3,Sex Offense,14
2018,3,Weapons Carrying Etc,72
2018,3,Weapons Offense,55
2018,4,Arson,36
2018,4,Assault,795
2018,4,Homicide,1
2018,4,"Human Trafficking (A), Commercial Sex Acts",3
2018,4,Offences Against The Family And Children,172
2018,4,Rape,3
2018,4,Robbery,240
2018,4,Sex Offense,9
2018,4,Weapons Carrying Etc,58
2018,4,Weapons Offense,54
2018,5,Arson,20
2018,5,Assault,810
2018,5,Homicide,2
2018,5,"Human Trafficking (A), Commercial Sex Acts",10
2018,5,Offences Against The Family And Children,178
2018,5,Rape,1
2018,5,Robbery,310
2018,5,Sex Offense,23
2018,5,Weapons Carrying Etc,74
2018,5,Weapons Offence,1
2018,5,Weapons Offense,57
2018,6,Arson,33
2018,6,Assault,796
2018,6,Homicide,1
2018,6,"Human Trafficking (A), Commercial Sex Acts",16
2018,6,"Human Trafficking, Commercial Sex Acts",1
2018,6,Offences Against The Family And Children,167
2018,6,Rape,6
2018,6,Robbery,319
2018,6,Sex Offense,13
2018,6,Weapons Carrying Etc,57
2018,6,Weapons Offense,55
2018,7,Arson,25
2018,7,Assault,802
2018,7,"Human Trafficking (A), Commercial Sex Acts",3
2018,7,Offences Against The Family And Children,176
2018,7,Rape,7
2018,7,Robbery,349
2018,7,Sex Offense,20
2018,7,Weapons Carrying Etc,76
2018,7,Weapons Offence,2
2018,7,Weapons Offense,69
2018,8,Arson,38
2018,8,Assault,783
2018,8,Homicide,8
2018,8,"Human Trafficking (A), Commercial Sex Acts",7
2018,8,Offences Against The Family And Children,158
2018,8,Rape,8
2018,8,Robbery,295
2018,8,Sex Offense,9
2018,8,Weapons Carrying Etc,54
2018,8,Weapons Offence,1
2018,8,Weapons Offense,74
2018,9,Arson,20
2018,9,Assault,700
2018,9,Homicide,1
2018,9,"Human Trafficking (A), Commercial Sex Acts",17
2018,9,"Human Trafficking, Commercial Sex Acts",1
2018,9,Offences Against The Family And Children,189
2018,9,Rape,4
2018,9,Robbery,300
2018,9,Sex Offense,17
2018,9,Weapons Carrying Etc,76
2018,9,Weapons Offense,64
2018,10,Arson,40
2018,10,Assault,731
2018,10,Homicide,2
2018,10,"Human Trafficking (A), Commercial Sex Acts",2
2018,10,"Human Trafficking, Commercial Sex Acts",1
2018,10,Offences Against The Family And Children,193
2018,10,Rape,5
2018,10,Robbery,287
2018,10,Sex Offense,16
2018,10,Weapons Carrying Etc,60
2018,10,Weapons Offense,58
2018,11,Arson,44
2018,11,Assault,659
2018,11,Homicide,2
2018,11,"Human Trafficking (A), Commercial Sex Acts",7
2018,11,"Human Trafficking, Commercial Sex Acts",1
2018,11,Offences Against The Family And Children,165
2018,11,Rape,2
2018,11,Robbery,275
2018,11,Sex Offense,12
2018,11,Weapons Carrying Etc,62
2018,11,Weapons Offence,1
2018,11,Weapons Offense,66
2018,12,Arson,26
2018,12,Assault,705
2018,12,Homicide,5
2018,12,"Human Trafficking (B), Involuntary Servitude",1
2018,12,Offences Against The Family And Children,161
2018,12,Rape,1
2018,12,Robbery,359
2018,12,Sex Offense,11
2018,12,Weapons Carrying Etc,41
2018,12,Weapons Offense,66
2019,1,Arson,24
2019,1,Assault,661
2019,1,Homicide,1
2019,1,"Human Trafficking (A), Commercial Sex Acts",1
2019,1,Offences Against The Family And Children,177
2019,1,Rape,7
2019,1,Robbery,290
2019,1,Sex Offense,14
2019,1,Weapons Carrying Etc,78
2019,1,Weapons Offense,87
2019,2,Arson,18
2019,2,Assault,533
2019,2,Offences Against The Family And Children,156
2019,2,Rape,3
2019,2,Robbery,228
2019,2,Sex Offense,16
2019,2,Weapons Carrying Etc,63
2019,2,Weapons Offense,60
2019,3,Arson,20
2019,3,Assault,800
2019,3,Homicide,1
2019,3,"Human Trafficking (A), Commercial Sex Acts",1
2019,3,"Human Trafficking, Commercial Sex Acts",1
2019,3,Offences Against The Family And Children,171
2019,3,Rape,2
2019,3,Robbery,250
2019,3,Sex Offense,6
2019,3,Weapons Carrying Etc,53
2019,3,Weapons Offence,1
2019,3,Weapons Offense,59
2019,4,Arson,22
2019,4,Assault,694
2019,4,Homicide,1
2019,4,"Human Trafficking (A), Commercial Sex Acts",2
2019,4,Offences Against The Family And Children,145
2019,4,Rape,1
2019,4,Robbery,256
2019,4,Sex Offense,16
2019,4,Weapons Carrying Etc,43
2019,4,Weapons Offense,74
2019,5,Arson,24
2019,5,Assault,774
2019,5,Homicide,2
2019,5,Offences Against The Family And Children,169
2019,5,Rape,3
2019,5,Robbery,256
2019,5,Sex Offense,14
2019,5,Weapons Carrying Etc,74
2019,5,Weapons Offence,1
2019,5,Weapons Offense,64
2019,6,Arson,19
2019,6,Assault,794
2019,6,Homicide,4
2019,6,Offences Against The Family And Children,158
2019,6,Rape,4
2019,6,Robbery,274
2019,6,Sex Offense,22
2019,6,Weapons Carrying Etc,72
2019,6,Weapons Offence,3
2019,6,Weapons Offense,57
2019,7,Arson,23
2019,7,Assault,751
2019,7,Offences Against The Family And Children,145
2019,7,Rape,5
2019,7,Robbery,257
2019,7,Sex Offense,8
2019,7,Weapons Carrying Etc,67
2019,7,Weapons Offense,77
2019,8,Arson,31
2019,8,Assault,828
2019,8,Homicide,1
2019,8,"Human Trafficking (A), Commercial Sex Acts",1
2019,8,"Human Trafficking, Commercial Sex Acts",1
2019,8,Offences Against The Family And Children,179
2019,8,Rape,1
2019,8,Robbery,317
2019,8,Sex Offense,25
2019,8,Weapons Carrying Etc,53
2019,8,Weapons Offense,71
2019,9,Arson,34
2019,9,Assault,754
2019,9,"Human Trafficking, Commercial Sex Acts",1
