incident_year,incident_month,incident_category,count
2018,1,Arson,26
2018,1,Assault,715
2018,1,Burglary,614
2018,1,Case Closure,50
2018,1,Civil Sidewalks,24
2018,1,Courtesy Report,32
2018,1,Disorderly Conduct,193
2018,1,Drug Offense,329
2018,1,Drug Violation,3
2018,1,Embezzlement,24
2018,1,Fire Report,18
2018,1,Forgery And Counterfeiting,62
2018,1,Fraud,416
2018,1,Gambling,4
2018,1,Homicide,1
2018,1,"Human Trafficking (A), Commercial Sex Acts",1
2018,1,Larceny Theft,4524
2018,1,Liquor Laws,2
2018,1,Lost Property,427
2018,1,Malicious Mischief,805
2018,1,Miscellaneous Investigation,105
2018,1,Missing Person,290
2018,1,Motor Vehicle Theft,419
2018,1,Non-Criminal,848
2018,1,Offences Against The Family And Children,142
2018,1,Other,74
2018,1,Other Miscellaneous,1057
2018,1,Other Offenses,97
2018,1,Prostitution,9
2018,1,Rape,2
2018,1,Recovered Vehicle,366
2018,1,Robbery,277
2018,1,Sex Offense,17
2018,1,Stolen Property,82
2018,1,Suicide,4
2018,1,Suspicious Occ,267
2018,1,Traffic Collision,21
2018,1,Traffic Violation Arrest,219
2018,1,Vandalism,7
2018,1,Vehicle Impounded,4
2018,1,Vehicle Misplaced,1
2018,1,Warrant,444
2018,1,Weapons Carrying Etc,119
2018,1,Weapons Offense,69
2018,2,Arson,25
2018,2,Assault,683
2018,2,Burglary,548
2018,2,Case Closure,76
2018,2,Civil Sidewalks,21
2018,2,Courtesy Report,34
2018,2,Disorderly Conduct,199
2018,2,Drug Offense,336
2018,2,Drug Violation,5
2018,2,Embezzlement,18
2018,2,Fire Report,16
2018,2,Forgery And Counterfeiting,61
2018,2,Fraud,340
2018,2,Gambling,2
2018,2,Larceny Theft,3530
2018,2,Liquor Laws,1
2018,2,Lost Property,451
2018,2,Malicious Mischief,691
2018,2,Miscellaneous Investigation,97
2018,2,Missing Person,311
2018,2,Motor Vehicle Theft,365
2018,2,Motor Vehicle Theft?,3
2018,2,Non-Criminal,735
2018,2,Offences Against The Family And Children,149
2018,2,Other,80
2018,2,Other Miscellaneous,943
2018,2,Other Offenses,101
2018,2,Prostitution,45
2018,2,Rape,3
2018,2,Recovered Vehicle,317
2018,2,Robbery,314
2018,2,Sex Offense,15
2018,2,Stolen Property,83
2018,2,Suicide,3
2018,2,Suspicious,1
2018,2,Suspicious Occ,271
2018,2,Traffic Collision,12
2018,2,Traffic Violation Arrest,189
2018,2,Vandalism,10
2018,2,Vehicle Impounded,12
2018,2,Vehicle Misplaced,4
2018,2,Warrant,415
2018,2,Weapons Carrying Etc,72
2018,2,Weapons Offense,63
2018,3,Arson,30
2018,3,Assault,754
2018,3,Burglary,592
2018,3,Case Closure,73
2018,3,Civil Sidewalks,25
2018,3,Courtesy Report,44
2018,3,Disorderly Conduct,240
2018,3,Drug Offense,398
2018,3,Drug Violation,5
2018,3,Embezzlement,14
2018,3,Fire Report,18
2018,3,Forgery And Counterfeiting,63
2018,3,Fraud,442
2018,3,Gambling,3
2018,3,Homicide,1
2018,3,"Human Trafficking (A), Commercial Sex Acts",4
2018,3,Larceny Theft,3890
2018,3,Liquor Laws,1
2018,3,Lost Property,461
2018,3,Malicious Mischief,774
2018,3,Miscellaneous Investigation,113
2018,3,Missing Person,333
2018,3,Motor Vehicle Theft,398
2018,3,Motor Vehicle Theft?,3
2018,3,Non-Criminal,827
2018,3,Offences Against The Family And Children,164
2018,3,Other,67
2018,3,Other Miscellaneous,961
2018,3,Other Offenses,90
2018,3,Prostitution,4
2018,3,Rape,2
2018,3,Recovered Vehicle,321
2018,3,Robbery,291
2018,3,Sex Offense,14
2018,3,Stolen Property,56
2018,3,Suicide,6
2018,3,Suspicious,1
2018,3,Suspicious Occ,227
2018,3,Traffic Collision,25
2018,3,Traffic Violation Arrest,175
2018,3,Vandalism,12
2018,3,Vehicle Impounded,1
2018,3,Vehicle Misplaced,5
2018,3,Warrant,455
2018,3,Weapons Carrying Etc,72
2018,3,Weapons Offense,55
2018,4,Arson,36
2018,4,Assault,795
2018,4,Burglary,595
2018,4,Case Closure,75
2018,4,Civil Sidewalks,44
2018,4,Courtesy Report,36
2018,4,Disorderly Conduct,234
2018,4,Drug Offense,342
2018,4,Drug Violation,3
2018,4,Embezzlement,26
2018,4,Fire Report,13
2018,4,Forgery And Counterfeiting,71
2018,4,Fraud,420
2018,4,Homicide,1
2018,4,"Human Trafficking (A), Commercial Sex Acts",3
2018,4,Larceny Theft,3780
2018,4,Lost Property,468
2018,4,Malicious Mischief,778
2018,4,Miscellaneous Investigation,122
2018,4,Missing Person,309
2018,4,Motor Vehicle Theft,386
2018,4,Motor Vehicle Theft?,6
2018,4,Non-Criminal,785
2018,4,Offences Against The Family And Children,172
2018,4,Other,74
2018,4,Other Miscellaneous,1011
2018,4,Other Offenses,83
2018,4,Prostitution,16
2018,4,Rape,3
2018,4,Recovered Vehicle,304
2018,4,Robbery,240
2018,4,Sex Offense,9
2018,4,Stolen Property,52
2018,4,Suicide,4
2018,4,Suspicious,2
2018,4,Suspicious Occ,239
2018,4,Traffic Collision,20
2018,4,Traffic Violation Arrest,177
2018,4,Vandalism,8
2018,4,Vehicle Impounded,10
2018,4,Vehicle Misplaced,8
2018,4,Warrant,485
2018,4,Weapons Carrying Etc,58
2018,4,Weapons Offense,54
2018,5,Arson,20
2018,5,Assault,810
2018,5,Burglary,646
2018,5,Case Closure,60
2018,5,Civil Sidewalks,75
2018,5,Courtesy Report,25
2018,5,Disorderly Conduct,219
2018,5,Drug Offense,369
2018,5,Drug Violation,1
2018,5,Embezzlement,21
2018,5,Fire Report,9
2018,5,Forgery And Counterfeiting,54
2018,5,Fraud,429
2018,5,Gambling,1
2018,5,Homicide,2
2018,5,"Human Trafficking (A), Commercial Sex Acts",10
2018,5,Larceny Theft,3931
2018,5,Liquor Laws,2
2018,5,Lost Property,465
2018,5,Malicious Mischief,727
2018,5,Miscellaneous Investigation,125
2018,5,Missing Person,357
2018,5,Motor Vehicle Theft,451
2018,5,Motor Vehicle Theft?,4
2018,5,Non-Criminal,792
2018,5,Offences Against The Family And Children,178
2018,5,Other,70
2018,5,Other Miscellaneous,972
2018,5,Other Offenses,106
2018,5,Prostitution,24
2018,5,Rape,1
2018,5,Recovered Vehicle,372
2018,5,Robbery,310
2018,5,Sex Offense,23
