hidden_layer_sizes,activation,optimizer,mse
"(64, 32)",relu,sgd,0.01848692826420999
"(64, 32, 16)",tanh,adam,0.01890986302543731
"(16, 8)",relu,sgd,0.01970169350787156
"(64, 32, 16)",relu,sgd,0.019858369396823984
"(32, 16, 8)",tanh,sgd,0.020401597077017962
"(16, 16, 8)",tanh,sgd,0.020777903188996753
"(32, 32, 16)",tanh,adam,0.020982872569057315
"(32, 32, 16)",relu,sgd,0.021622750816441424
"(32, 32, 16)",tanh,sgd,0.02201303504012367
"(64, 32, 16)",tanh,sgd,0.02223653068714083
"(32, 16)",relu,sgd,0.02306628180543725
"(16, 16)",relu,sgd,0.023349396749192352
"(32, 16)",tanh,sgd,0.02375415831552381
"(16, 8)",tanh,sgd,0.023788695684952094
"(32, 32)",tanh,sgd,0.024573202531348547
"(32, 32)",relu,sgd,0.024608568216910518
"(64, 32)",tanh,sgd,0.025611848948130376
"(32, 32, 16)",relu,adam,0.026294015391335825
"(64, 32)",tanh,adam,0.028009426132735302
"(64, 32, 16)",relu,adam,0.031300780668898895
"(16, 16)",tanh,sgd,0.03161312422421815
"(16, 16, 8)",relu,sgd,0.03281038302591648
"(32, 32)",tanh,adam,0.03801646221000054
"(32, 16)",tanh,adam,0.03828148818403116
"(32, 16, 8)",relu,sgd,0.04204521372094325
"(16, 16, 8)",relu,adam,0.05021162138626909
"(16, 16)",tanh,adam,0.050967923814823596
"(64, 32)",relu,adam,0.05374031350396547
"(16, 16)",relu,adam,0.06761634998421791
"(32, 16)",relu,adam,0.07001198128409813
"(32, 32)",relu,adam,0.07803786254512292
"(32, 16, 8)",relu,adam,0.08392545162388043
"(16, 16, 8)",tanh,adam,0.7375285211622256
"(16, 8)",tanh,adam,0.8207127131743347
"(16, 8)",relu,adam,0.9228860669349563
"(32, 16, 8)",tanh,adam,1.5084650899182293
