hidden_layer_sizes,activation,optimizer,mse
"(64, 32, 16)",tanh,adam,0.004898570326961769
"(64, 32, 16)",tanh,sgd,0.005090886529849663
"(32, 32, 16)",tanh,sgd,0.005353967954007217
"(32, 16, 8)",tanh,sgd,0.005643965968869075
"(16, 16, 8)",tanh,sgd,0.00688371487190283
"(16, 8)",tanh,sgd,0.006962520003416021
"(64, 32)",tanh,sgd,0.007157440924322679
"(32, 32, 16)",tanh,adam,0.007339392665658344
"(32, 32)",tanh,sgd,0.007486853955077501
"(32, 16)",tanh,sgd,0.007889777507054775
"(64, 32)",tanh,adam,0.008752066030473361
"(32, 16)",tanh,adam,0.009139975168500855
"(16, 16)",tanh,sgd,0.009924631510924231
"(16, 8)",relu,sgd,0.010970057855935661
"(64, 32, 16)",relu,sgd,0.011602587821223559
"(32, 16, 8)",relu,sgd,0.011983105247638572
"(32, 32)",tanh,adam,0.01281641738362683
"(16, 16, 8)",relu,sgd,0.01285662273453281
"(32, 32, 16)",relu,sgd,0.013397578554761523
"(32, 32)",relu,sgd,0.014187460975673173
"(64, 32)",relu,sgd,0.016458549922749015
"(32, 16)",relu,sgd,0.01670805135216283
"(16, 16)",relu,sgd,0.017879412275448182
"(16, 16)",tanh,adam,0.03374717680879096
"(64, 32, 16)",relu,adam,0.0414678562949374
"(64, 32)",relu,adam,0.08042410170926519
"(32, 32, 16)",relu,adam,0.08957690613657947
"(32, 16, 8)",relu,adam,0.09364006186897812
"(16, 16)",relu,adam,0.10997362209856003
"(16, 16, 8)",relu,adam,0.1370304841209377
"(32, 32)",relu,adam,0.18827919068429688
"(32, 16)",relu,adam,0.2751743455746637
"(16, 8)",relu,adam,0.6365753604982649
"(32, 16, 8)",tanh,adam,1.0839891163311695
"(16, 8)",tanh,adam,1.220426622061267
"(16, 16, 8)",tanh,adam,1.601743370839989
