hidden_layer_sizes,activation,optimizer,mse
"(32, 32, 16)",tanh,adam,0.005240589962654855
"(32, 16, 8)",tanh,sgd,0.005349497372247902
"(64, 32, 16)",tanh,sgd,0.0054326139095257206
"(64, 32, 16)",tanh,adam,0.005662387175815319
"(16, 8)",tanh,sgd,0.005682347010793274
"(32, 32, 16)",tanh,sgd,0.0058829914267249026
"(16, 16, 8)",relu,sgd,0.006265684900066394
"(16, 16, 8)",tanh,sgd,0.006286209431563984
"(32, 32, 16)",relu,sgd,0.0068826741023366375
"(32, 16)",tanh,sgd,0.006929275942314901
"(32, 32)",tanh,adam,0.007411659166468115
"(16, 16)",tanh,sgd,0.007651521114759886
"(32, 32)",tanh,sgd,0.008251705878892726
"(64, 32)",tanh,adam,0.008356381815439894
"(32, 16)",relu,sgd,0.009015319679054083
"(64, 32, 16)",relu,sgd,0.009332908460362733
"(64, 32)",tanh,sgd,0.01003935886913101
"(32, 16, 8)",relu,sgd,0.010063556994304631
"(32, 16)",tanh,adam,0.012027553343025002
"(64, 32)",relu,sgd,0.01371099689609285
"(16, 8)",relu,sgd,0.013771914617349034
"(16, 16)",relu,sgd,0.02085121024593552
"(32, 32)",relu,sgd,0.02366854839473467
"(32, 32, 16)",relu,adam,0.05648506377481626
"(16, 16, 8)",relu,adam,0.05743323768554776
"(16, 16)",tanh,adam,0.07118909682035221
"(64, 32, 16)",relu,adam,0.08420991413555597
"(64, 32)",relu,adam,0.11930272519746794
"(32, 16)",relu,adam,0.14851024439174476
"(32, 32)",relu,adam,0.1536128764518619
"(32, 16, 8)",relu,adam,0.21049481154417596
"(16, 8)",relu,adam,0.39622305069578073
"(16, 16)",relu,adam,0.4918084045882645
"(32, 16, 8)",tanh,adam,0.6008104592615559
"(16, 16, 8)",tanh,adam,1.4621739966893113
"(16, 8)",tanh,adam,3.838192727462593
