Year,nhood,count
2018,Western Addition,507
2018,West of Twin Peaks,248
2018,Visitacion Valley,364
2018,Twin Peaks,33
2018,South of Market,1715
2018,Treasure Island,87
2018,Presidio Heights,54
2018,Presidio,22
2018,Potrero Hill,214
2018,Portola,247
2018,Pacific Heights,146
2018,Outer Richmond,211
2018,Outer Mission,304
2018,Sunset/Parkside,427
2018,Oceanview/Merced/Ingleside,211
2018,North Beach,344
2018,Noe Valley,95
2018,Lone Mountain/USF,154
2018,Lincoln Park,1
2018,Seacliff,11
2018,Nob Hill,394
2018,Mission Bay,218
2018,Mission,2469
2018,Russian Hill,161
2018,Marina,224
2018,Lakeshore,156
2018,Tenderloin,2209
2018,McLaren Park,17
2018,Japantown,105
2018,Inner Sunset,112
2018,Hayes Valley,272
2018,Haight Ashbury,197
2018,Golden Gate Park,110
2018,Inner Richmond,148
2018,Glen Park,85
2018,Financial District/South Beach,1427
2018,Excelsior,388
2018,Chinatown,308
2018,Castro/Upper Market,533
2018,Bernal Heights,325
2018,Bayview Hunters Point,1483
2019,Western Addition,508
2019,West of Twin Peaks,213
2019,Visitacion Valley,283
2019,Twin Peaks,57
2019,South of Market,1585
2019,Treasure Island,52
2019,Presidio Heights,55
2019,Presidio,23
2019,Potrero Hill,200
2019,Portola,261
2019,Pacific Heights,119
2019,Outer Richmond,218
2019,Outer Mission,290
2019,Sunset/Parkside,349
2019,Oceanview/Merced/Ingleside,224
2019,North Beach,345
2019,Noe Valley,64
2019,Lone Mountain/USF,114
2019,Lincoln Park,1
2019,Seacliff,10
2019,Nob Hill,439
2019,Mission Bay,222
2019,Mission,2257
2019,Russian Hill,171
2019,Marina,190
2019,Lakeshore,141
2019,Tenderloin,2184
2019,McLaren Park,24
2019,Japantown,101
2019,Inner Sunset,116
2019,Hayes Valley,324
2019,Haight Ashbury,182
2019,Golden Gate Park,96
2019,Inner Richmond,145
2019,Glen Park,41
2019,Financial District/South Beach,1383
2019,Excelsior,367
2019,Chinatown,282
2019,Castro/Upper Market,538
2019,Bernal Heights,306
2019,Bayview Hunters Point,1469
2020,Western Addition,442
2020,West of Twin Peaks,163
2020,Visitacion Valley,322
2020,Twin Peaks,28
2020,South of Market,1301
2020,Treasure Island,79
2020,Presidio Heights,51
2020,Presidio,16
2020,Potrero Hill,234
2020,Portola,214
2020,Pacific Heights,124
2020,Outer Richmond,196
2020,Outer Mission,217
2020,Sunset/Parkside,328
2020,Oceanview/Merced/Ingleside,138
2020,North Beach,218
2020,Noe Valley,66
2020,Lone Mountain/USF,124
2020,Lincoln Park,4
2020,Seacliff,7
2020,Nob Hill,324
2020,Mission Bay,239
2020,Mission,1692
2020,Russian Hill,170
2020,Marina,210
2020,Lakeshore,129
2020,Tenderloin,1807
2020,McLaren Park,27
2020,Japantown,84
2020,Inner Sunset,91
