hidden_layer_sizes,activation,optimizer,mse
"(32, 32, 16)",relu,sgd,0.01723649031058847
"(32, 32)",relu,sgd,0.017464500230512943
"(32, 16)",relu,sgd,0.01838783602470819
"(64, 32, 16)",tanh,adam,0.02011498645456316
"(32, 16, 8)",tanh,sgd,0.020190956365358444
"(16, 16)",relu,sgd,0.020562619095296497
"(64, 32)",relu,sgd,0.021320163260614103
"(16, 16, 8)",tanh,sgd,0.021531364852138423
"(32, 32, 16)",tanh,adam,0.021662366833394273
"(32, 32, 16)",tanh,sgd,0.021705559484445077
"(64, 32, 16)",tanh,sgd,0.02254875157592145
"(32, 32)",tanh,sgd,0.02321056146163847
"(16, 16, 8)",relu,sgd,0.02390361185926555
"(64, 32)",tanh,sgd,0.024207930123901076
"(64, 32, 16)",relu,sgd,0.02439913374268793
"(32, 16)",tanh,sgd,0.02465692173947885
"(32, 16, 8)",relu,sgd,0.0252556817258577
"(64, 32)",tanh,adam,0.025499498058428303
"(16, 8)",tanh,sgd,0.02593512174171302
"(64, 32, 16)",relu,adam,0.02635644200725727
"(16, 8)",relu,sgd,0.027724949546581956
"(16, 16)",tanh,sgd,0.028447141463578324
"(32, 16)",tanh,adam,0.03170285322176556
"(64, 32)",relu,adam,0.03732293277937026
"(32, 32)",tanh,adam,0.03867395085299231
"(16, 16)",tanh,adam,0.039934071491655725
"(32, 32, 16)",relu,adam,0.040424239444935665
"(32, 16)",relu,adam,0.06410430680455308
"(16, 16, 8)",relu,adam,0.06577173677435894
"(32, 32)",relu,adam,0.0831144894404339
"(32, 16, 8)",relu,adam,0.0844859424749475
"(32, 16, 8)",tanh,adam,0.3142104956554838
"(16, 16, 8)",tanh,adam,0.3379849662793031
"(16, 16)",relu,adam,0.5041725509192646
"(16, 8)",tanh,adam,1.7416370360935547
"(16, 8)",relu,adam,2.6867502770043394
