                      ,coef,se,p
Boudin_vc_lc_c1,0.0562,(0.101),0.2895
Boudin_vc_lc_c2,0.1511*,(0.105),0.075
Boudin_ac_no23_lc_c1,-0.2339***,(0.048),0.0
Boudin_ac_no23_lc_c2,-0.2102***,(0.061),0.0005
Boudin_vc_no23_lc_c1,-0.1543***,(0.06),0.005
Boudin_vc_no23_lc_c2,-0.0702,(0.072),0.1645
Boudin_noqol_lc_c1,-0.3712***,(0.11),0.0005
Boudin_noqol_lc_c2,-0.0405,(0.083),0.3125
Boudin_noqol_no23_lc_c1,-0.6101***,(0.087),0.0
Boudin_noqol_no23_lc_c2,-0.2138***,(0.061),0.0
Boudin_ac_lc_c2,-0.0301,(0.083),0.359
Boudin_ac_lc_c1,0.0132,(0.095),0.4445
