type,model,specifics,mse
knn,ac_c1,"{'n_neighbors': 12, 'weights': 'uniform'}",0.0032
nn,ac_c1,"{'hidden_layer_sizes': (16, 16, 8), 'activation': 'tanh', 'optimizer': 'sgd'}",0.0048
gls,ac_c1,-,0.0053
gls,ac_c2,-,0.0181
nn,ac_c2,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'optimizer': 'sgd'}",0.0185
knn,ac_c2,"{'n_neighbors': 9, 'weights': 'uniform'}",0.0208
knn,noqol_c1,"{'n_neighbors': 12, 'weights': 'uniform'}",0.0032
gls,noqol_c1,-,0.0053
nn,noqol_c1,"{'hidden_layer_sizes': (16, 8), 'activation': 'tanh', 'optimizer': 'sgd'}",0.0053
nn,noqol_c2,"{'hidden_layer_sizes': (16, 8), 'activation': 'relu', 'optimizer': 'sgd'}",0.0145
gls,noqol_c2,-,0.0181
knn,noqol_c2,"{'n_neighbors': 9, 'weights': 'uniform'}",0.0208
knn,vc_c1,"{'n_neighbors': 12, 'weights': 'uniform'}",0.0032
nn,vc_c1,"{'hidden_layer_sizes': (32, 32, 16), 'activation': 'tanh', 'optimizer': 'adam'}",0.0052
gls,vc_c1,-,0.0053
nn,vc_c2,"{'hidden_layer_sizes': (32, 32, 16), 'activation': 'relu', 'optimizer': 'sgd'}",0.0172
gls,vc_c2,-,0.0181
knn,vc_c2,"{'n_neighbors': 9, 'weights': 'uniform'}",0.0208
