hidden_layer_sizes,activation,optimizer,mse
"(16, 16, 8)",tanh,sgd,0.004756014403983973
"(64, 32, 16)",tanh,sgd,0.004988112994697304
"(32, 32, 16)",tanh,sgd,0.0055748479650472174
"(32, 16, 8)",tanh,sgd,0.0059021917244526925
"(32, 32, 16)",tanh,adam,0.0060741063495820145
"(32, 16, 8)",relu,sgd,0.0063537725611544985
"(16, 8)",tanh,sgd,0.006720007092859839
"(32, 32, 16)",relu,sgd,0.006833601327275451
"(64, 32)",tanh,sgd,0.0071377233979894004
"(16, 16)",tanh,sgd,0.008511507558821704
"(16, 16, 8)",relu,sgd,0.008654349194873812
"(32, 32)",tanh,sgd,0.00916194012341086
"(32, 16)",tanh,sgd,0.009533666123783311
"(64, 32)",tanh,adam,0.011548473399898555
"(32, 16)",tanh,adam,0.011693404718763624
"(64, 32, 16)",relu,sgd,0.011744018030062793
"(16, 8)",relu,sgd,0.014367638573259588
"(32, 16)",relu,sgd,0.01537523493701475
"(64, 32)",relu,sgd,0.015775138140957434
"(16, 16)",relu,sgd,0.0176547756699023
"(64, 32, 16)",tanh,adam,0.01770719589337531
"(32, 32)",relu,sgd,0.019781773552842493
"(32, 32)",tanh,adam,0.02891771202294366
"(32, 16, 8)",tanh,adam,0.03051639402166723
"(16, 16)",tanh,adam,0.048012375711500466
"(64, 32, 16)",relu,adam,0.05010438843745323
"(32, 32, 16)",relu,adam,0.06176153626113495
"(64, 32)",relu,adam,0.09742271312027957
"(32, 32)",relu,adam,0.1338044164933644
"(32, 16, 8)",relu,adam,0.180715884218817
"(16, 16, 8)",relu,adam,0.2216134925037222
"(32, 16)",relu,adam,0.34110152801968835
"(16, 16)",relu,adam,0.3674948200342785
"(16, 16, 8)",tanh,adam,0.37700328473763983
"(16, 8)",relu,adam,0.539732837498048
"(16, 8)",tanh,adam,0.9538416022625199
