n_neighbors,weights,mse
9,uniform,0.0207676708472125
10,uniform,0.021145521440234117
8,uniform,0.021464565472318984
12,uniform,0.02200644906507089
7,uniform,0.02201228624277875
11,uniform,0.022508954013769806
13,uniform,0.02278528419367669
14,uniform,0.023608880440089408
16,uniform,0.02387217529092248
15,uniform,0.023927967097462505
5,uniform,0.02450775823110463
6,uniform,0.026184364144792405
3,uniform,0.02988593907205962
4,uniform,0.03126424431506683
2,uniform,0.03484035299337463
2,distance,0.03750885504909122
7,distance,0.037834265199287606
6,distance,0.037852885979771767
5,distance,0.03791407023478253
8,distance,0.0380269414268855
9,distance,0.03817017543235248
10,distance,0.038348054634735805
11,distance,0.03853323382783126
12,distance,0.03863876960845858
3,distance,0.0387167164316839
13,distance,0.03886447605575664
4,distance,0.03891751575002786
14,distance,0.03916630193837292
15,distance,0.03931554147759409
16,distance,0.03955272872752146
1,distance,0.05328585333072686
1,uniform,0.05328585333072689
