hidden_layer_sizes,activation,optimizer,mse
"(16, 8)",relu,sgd,0.014517182935032654
"(64, 32)",relu,sgd,0.01754906555907256
"(16, 16, 8)",tanh,sgd,0.01831511163975011
"(32, 32)",relu,sgd,0.01905987309992156
"(32, 16, 8)",relu,sgd,0.020083698043166304
"(32, 32, 16)",tanh,adam,0.020625765936464834
"(64, 32, 16)",tanh,adam,0.02140415618362725
"(16, 16)",relu,sgd,0.021677249189776107
"(64, 32, 16)",tanh,sgd,0.02201171121937751
"(32, 16)",relu,sgd,0.02221272681043406
"(32, 16, 8)",tanh,sgd,0.022260329346364714
"(32, 32, 16)",tanh,sgd,0.022578079865337716
"(16, 8)",tanh,sgd,0.02346577316489688
"(16, 16, 8)",relu,sgd,0.023616842794618634
"(64, 32)",tanh,sgd,0.024044503331599604
"(16, 16)",tanh,sgd,0.024067234820350013
"(32, 16)",tanh,sgd,0.024578636666616565
"(64, 32)",tanh,adam,0.025957269241952005
"(64, 32, 16)",relu,sgd,0.02665404750358401
"(32, 32, 16)",relu,sgd,0.026788056106864484
"(32, 16)",tanh,adam,0.02822143053480354
"(32, 32)",tanh,sgd,0.02918338892439638
"(32, 32)",tanh,adam,0.030271083949072995
"(64, 32, 16)",relu,adam,0.033936801729410986
"(64, 32)",relu,adam,0.0428304748823947
"(32, 16, 8)",relu,adam,0.044036642866733956
"(32, 32, 16)",relu,adam,0.06313830671820675
"(32, 32)",relu,adam,0.06740086887990736
"(16, 16)",tanh,adam,0.08305870913432405
"(32, 16)",relu,adam,0.11080212987909249
"(16, 16, 8)",relu,adam,0.14401338194745564
"(16, 16)",relu,adam,0.15479812843801122
"(16, 16, 8)",tanh,adam,0.28496080074580543
"(32, 16, 8)",tanh,adam,0.305461024737443
"(16, 8)",relu,adam,1.3807673906716904
"(16, 8)",tanh,adam,3.659518929739816
